Title = "SUmb History Data"
Variables = "Grid level", "Timestep", "Time", "Inner Iter", "Inner Iter Total", "Smoother Type", "CFL", "Resrho" "C_lift" "C_drag" "C_Mz" "totalRes" 
Zone T= "SUmb History Data."
1  1  0.17453E-03  30  30  0  0.60E+01  0.6043379823525229E-01  0.7806381947427903E-01  0.7897294387055991E-01  0.7784270416516277E-01  0.3145967817015938E+01  
2  2  0.34907E-03  30  30  0  0.60E+01  0.7070317376013834E-02  0.7649012485977279E-01  0.6567417539136861E-01  0.7595182509929127E-01  0.3651677178639413E+00  
3  3  0.52360E-03  30  30  0  0.60E+01  0.2881085106242077E-02  0.7518562826565818E-01  0.5893075081957737E-01  0.7445850345110883E-01  0.1501868030203651E+00  
4  4  0.69813E-03  30  30  0  0.60E+01  0.1503046349255816E-02  0.7412951735557322E-01  0.5496979047656692E-01  0.7319530785050932E-01  0.8360163713928975E-01  
5  5  0.87266E-03  30  30  0  0.60E+01  0.1029494428150345E-02  0.7271419182680042E-01  0.5135951948538570E-01  0.7147481133717558E-01  0.5297141846593122E-01  
6  6  0.10472E-02  30  30  0  0.60E+01  0.6902452931043010E-03  0.7167964105952659E-01  0.4859936252617236E-01  0.7007751335427308E-01  0.3524528870861578E-01  
7  7  0.12217E-02  30  30  0  0.60E+01  0.6896119038052864E-03  0.7059224947255632E-01  0.4627871618592186E-01  0.6855637051360793E-01  0.3794914583440626E-01  
8  8  0.13963E-02  30  30  0  0.60E+01  0.5092213117244936E-03  0.6953871375437859E-01  0.4439036936658858E-01  0.6700625937085192E-01  0.2736862793820763E-01  
9  9  0.15708E-02  30  30  0  0.60E+01  0.2680578237769179E-03  0.6865651979296217E-01  0.4297196914076513E-01  0.6558184690072152E-01  0.1457465298770635E-01  
10  10  0.17453E-02  30  30  0  0.60E+01  0.4037130050189407E-03  0.6789613974976486E-01  0.4197463680236891E-01  0.6424657395573177E-01  0.2197850044892671E-01  
11  11  0.19199E-02  30  30  0  0.60E+01  0.3315077851496296E-03  0.6720296884851734E-01  0.4136405820112791E-01  0.6295919195963456E-01  0.1718849005225453E-01  
12  12  0.20944E-02  30  30  0  0.60E+01  0.2677084941049355E-03  0.6657487694090927E-01  0.4106144810968219E-01  0.6173584449830666E-01  0.1387525920532795E-01  
13  13  0.22689E-02  30  30  0  0.60E+01  0.3315651149785084E-03  0.6605206692820659E-01  0.4094893746135808E-01  0.6063826396109680E-01  0.1820993751326001E-01  
14  14  0.24435E-02  30  30  0  0.60E+01  0.3422616912810872E-03  0.6569683159716615E-01  0.4094326335010559E-01  0.5974892309148518E-01  0.1890772679607729E-01  
15  15  0.26180E-02  30  30  0  0.60E+01  0.2769527803065976E-03  0.6554778411423889E-01  0.4100675665697516E-01  0.5912148227745806E-01  0.1520907869334647E-01  
16  16  0.27925E-02  30  30  0  0.60E+01  0.1814662322954873E-03  0.6559601783909558E-01  0.4110651403577156E-01  0.5875405204293646E-01  0.9904283027895654E-02  
17  17  0.29671E-02  30  30  0  0.60E+01  0.1034630002868738E-03  0.6580149047081865E-01  0.4119454258776967E-01  0.5860576859004724E-01  0.5779206492693479E-02  
18  18  0.31416E-02  30  30  0  0.60E+01  0.1054796762346946E-03  0.6612007349206103E-01  0.4122301614655654E-01  0.5862545107716985E-01  0.6070519508514617E-02  
19  19  0.33161E-02  30  30  0  0.60E+01  0.1536188076453028E-03  0.6651699515823775E-01  0.4116666376703061E-01  0.5876717195530065E-01  0.8598434913279404E-02  
20  20  0.34907E-02  30  30  0  0.60E+01  0.1900806270993998E-03  0.6696715370003943E-01  0.4103098515153566E-01  0.5899330682963277E-01  0.1042512360185162E-01  
21  21  0.36652E-02  30  30  0  0.60E+01  0.2039104699622424E-03  0.6745234835407597E-01  0.4084437251611262E-01  0.5927463631221105E-01  0.1099560567153713E-01  
22  22  0.38397E-02  30  30  0  0.60E+01  0.1974854416586031E-03  0.6796035301414385E-01  0.4064234996018427E-01  0.5959133575490341E-01  0.1043992261930020E-01  
23  23  0.40143E-02  30  30  0  0.60E+01  0.1742791309303578E-03  0.6848390427593901E-01  0.4045322914794686E-01  0.5993249267513448E-01  0.8987079827543392E-02  
24  24  0.41888E-02  30  30  0  0.60E+01  0.1513583154598683E-03  0.6901936511234741E-01  0.4029059472667924E-01  0.6029390589732295E-01  0.7747247614741936E-02  
25  25  0.43633E-02  30  30  0  0.60E+01  0.1663028721460789E-03  0.6956531086979900E-01  0.4015364345658672E-01  0.6067500246406468E-01  0.9014143813389757E-02  
26  26  0.45379E-02  30  30  0  0.60E+01  0.2246200440416921E-03  0.7012064939022672E-01  0.4003299016229057E-01  0.6107556008545212E-01  0.1269502315762290E-01  
27  27  0.47124E-02  30  30  0  0.60E+01  0.2847586797039752E-03  0.7068326211212284E-01  0.3991775460370741E-01  0.6149376005588922E-01  0.1627380644260492E-01  
28  28  0.48869E-02  30  30  0  0.60E+01  0.3180680348796394E-03  0.7125020926639947E-01  0.3980029992411698E-01  0.6192626205245322E-01  0.1822619559508210E-01  
29  29  0.50615E-02  30  30  0  0.60E+01  0.3093553005390597E-03  0.7181858223828258E-01  0.3967742615440006E-01  0.6236947549269045E-01  0.1778857010469950E-01  
30  30  0.52360E-02  30  30  0  0.60E+01  0.2461501539359726E-03  0.7238631857108593E-01  0.3954914156976193E-01  0.6282052867803414E-01  0.1430826725036331E-01  
31  31  0.54105E-02  30  30  0  0.60E+01  0.1416045388493859E-03  0.7295245225419081E-01  0.3941678984121618E-01  0.6327768577259985E-01  0.8579862512570301E-02  
