Title = "Time history."
Variables =  "Timestep" "Plunge" "Pitch" "d_Plunge" "d_Pitch" "dd_Plunge" "dd_Pitch" "Force" "Moment" 
Zone T= "Loosely coupled (1st order)."
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.054324030560927255e-07 -3.534113748997980647e-07 1.208166343807263183e-05 -4.049796042734820820e-05 1.384456648998155185e-03 -4.640724422749752456e-03 -6.968741879548344398e-03 -1.365892889455711315e-02
2.000000000000000000e+00 5.093557469010773850e-07 -1.750479651364423637e-06 3.420454226018572854e-05 -1.195942714387300478e-04 1.150638525374705380e-03 -4.423045169262887141e-03 -6.810333423551590513e-03 -1.332713951254712974e-02
3.000000000000000000e+00 1.263400397000114675e-06 -4.496110173065465042e-06 5.220260977000178409e-05 -1.950318105528140193e-04 9.117880900332776730e-04 -4.221460046917270212e-03 -6.685576594020792122e-03 -1.306510886461448306e-02
4.000000000000000000e+00 2.286644520744735486e-06 -8.524036065058064851e-06 6.505252963425602151e-05 -2.665344970524729314e-04 5.607042605728974373e-04 -3.972144273637740440e-03 -6.586868787454267654e-03 -1.284345804873458265e-02
5.000000000000000000e+00 3.466500779830047123e-06 -1.375276018574135431e-05 7.014903852110828200e-05 -3.326331516543370222e-04 2.331263836220720398e-05 -3.602203606721839438e-03 -6.457187352957327944e-03 -1.254156540778652955e-02
6.000000000000000000e+00 4.645354610786239609e-06 -2.007574432204847100e-05 6.493765983212855671e-05 -3.919274582228025601e-04 -6.204926470081227998e-04 -3.192423424333982237e-03 -6.362209456198527485e-03 -1.229638387153775790e-02
7.000000000000000000e+00 5.625456791896341523e-06 -2.736560976650468367e-05 4.737377710622241823e-05 -4.434295881483996246e-04 -1.392180057106183521e-03 -2.709285937008275302e-03 -6.263269286928957284e-03 -1.202947148556737962e-02
8.000000000000000000e+00 6.173408566394647892e-06 -3.547642398959580996e-05 1.541687100469192427e-05 -4.860012586472030587e-04 -2.269811634720949028e-03 -2.169068155797787556e-03 -6.167960906590529320e-03 -1.175747608015800978e-02
9.000000000000000000e+00 6.024602884277248040e-06 -4.424564808103287735e-05 -3.246874611047663927e-05 -5.188778014403724534e-04 -3.217475885436209618e-03 -1.598306138261912628e-03 -6.088402331423522010e-03 -1.150753681025866448e-02
1.000000000000000000e+01 4.892241480173920482e-06 -5.350026152727186361e-05 -9.729031256678049439e-05 -5.416227815486590819e-04 -4.210528473309788772e-03 -1.008076592365758336e-03 -6.020174098087810975e-03 -1.127323870350554515e-02
1.100000000000000000e+01 2.475724223496383498e-06 -6.306130863573014382e-05 -1.796221672895289591e-04 -5.539925125321776191e-04 -5.224007116885653196e-03 -4.093901657698897673e-04 -5.958433691047934112e-03 -1.104734394132570775e-02
1.200000000000000000e+01 -1.531017102788550434e-06 -7.274786815137346231e-05 -2.795165679040242609e-04 -5.560054439651208923e-04 -6.223047987513621870e-03 1.787252146561466926e-04 -5.902873618235242835e-03 -1.083268521168855199e-02
1.300000000000000000e+01 -7.429131015854738521e-06 -8.238268356527767629e-05 -3.963575007081427673e-04 -5.480630752434851628e-04 -7.165936660581661774e-03 7.314031995167403046e-04 -5.856840032467536782e-03 -1.064009459353645881e-02
1.400000000000000000e+01 -1.550282089589042234e-05 -9.179928937912348061e-05 -5.288192097389143127e-04 -5.310004656999519138e-04 -8.013057088524641255e-03 1.223827829131453847e-03 -5.825669816983905340e-03 -1.048404344100615886e-02
1.500000000000000000e+01 -2.600785529369210891e-05 -1.008490806762668378e-04 -6.749690595286673500e-04 -5.060292279011226321e-04 -8.734482050322945473e-03 1.637665241049481545e-03 -5.812692471727542824e-03 -1.037394745248351388e-02
1.600000000000000000e+01 -3.916277318698025643e-05 -1.094066285132405463e-04 -8.324734907244109999e-04 -4.745935201786780056e-04 -9.314196273926595229e-03 1.964601515956285790e-03 -5.817076318392127784e-03 -1.030947508476627063e-02
1.700000000000000000e+01 -5.514390847484441465e-05 -1.173723260898087203e-04 -9.988297169199972323e-04 -4.382081838512108291e-04 -9.748823039534920687e-03 2.204850899499520393e-03 -5.835235328910444268e-03 -1.028345603569834690e-02
1.800000000000000000e+01 -7.408413696875918765e-05 -1.246725495830477059e-04 -1.171560594509482968e-03 -3.983358074784784913e-04 -1.004467751540183938e-02 2.364186871129889036e-03 -5.863225284336836748e-03 -1.028690968874083726e-02
1.900000000000000000e+01 -9.607457462698236516e-05 -1.312580759786186155e-04 -1.348357940413993103e-03 -3.563099291979509166e-04 -1.021480598348407411e-02 2.451624040479597876e-03 -5.897957285247343653e-03 -1.031177721380979739e-02
2.000000000000000000e+01 -1.211682810050562358e-04 -1.371014889761233864e-04 -1.527168995194302589e-03 -3.132958762198749785e-04 -1.027543155490452317e-02 2.477423350312167594e-03 -5.937237805347354500e-03 -1.035145672137840166e-02
2.100000000000000000e+01 -1.493848983321513068e-04 -1.421942105474092609e-04 -1.706217174762215006e-03 -2.702870283199525800e-04 -1.024197848257923232e-02 2.451027582459131861e-03 -5.979513732484534501e-03 -1.040082113439167594e-02
2.200000000000000000e+01 -1.807151240221637888e-04 -1.465437453998119795e-04 -1.883962231697910083e-03 -2.281329514555142598e-04 -1.012610470087644751e-02 2.379473804745636020e-03 -6.023766976356923972e-03 -1.045639185505295443e-02
